"","text","created_at","retweet_count","favorite_count","clean","sent.value","category","response","month","year"
"2","I predict that dying @UnionLeader newspaper which has been run into the ground by publisher ""Stinky"" Joe McQuaid will be dead in 2 years!",2015-12-31,897,3261,"I predict that dying @UnionLeader newspaper which has been run into the ground by publisher ""Stinky"" Joe McQuaid will be dead in 2 years!",-2.3,"negative",4158,2015-12-01,2015-01-01
"10","The dying @UnionLeader newspaper in NH is in turmoil over my comments about them- like a bully that got knocked out!",2015-12-30,1052,3166,"The dying @UnionLeader newspaper in NH is in turmoil over my comments about them- like a bully that got knocked out!",-1.25,"negative",4218,2015-12-01,2015-01-01
"16","Shows how dumb Joe McQuaid (@deucecrew) of the dying Union Leader is to put out the letter I wrote saying why I didn't do his failed debate!",2015-12-30,849,2810,"Shows how dumb Joe McQuaid (@deucecrew) of the dying Union Leader is to put out the letter I wrote saying why I didn't do his failed debate!",-1.5,"negative",3659,2015-12-01,2015-01-01
"24","Remember that Bill Clinton was brought in to help Hillary against Obama in 2008. He was terrible failed badly and was called a racist!",2015-12-29,2400,5793,"Remember that Bill Clinton was brought in to help Hillary against Obama in 2008. He was terrible failed badly and was called a racist!",-3,"negative",8193,2015-12-01,2015-01-01
"28","Strange but I see wacko Bernie Sanders allies coming over to me because I'm lowering taxes while he will double &amp; triple them a disaster!",2015-12-28,3979,9761,"Strange but I see wacko Bernie Sanders allies coming over to me because I'm lowering taxes while he will double &amp; triple them a disaster!",-2.25,"negative",13740,2015-12-01,2015-01-01
"32","If Hillary thinks she can unleash her husband with his terrible record of women abuse while playing the women's card on me she's wrong!",2015-12-28,6737,15153,"If Hillary thinks she can unleash her husband with his terrible record of women abuse while playing the women's card on me she's wrong!",-2.75,"negative",21890,2015-12-01,2015-01-01
"37","R.P.Virginia has lost statewide 7 times in a row. Will now not allow desperately needed new voters. Suicidal mistake. RNC MUST ACT NOW!",2015-12-27,1704,3979,"R.P.Virginia has lost statewide 7 times in a row. Will now not allow desperately needed new voters. Suicidal mistake. RNC MUST ACT NOW!",-1.95,"negative",5683,2015-12-01,2015-01-01
"44","Criminal deportations in the U.S. are the lowest number in many years. We are letting criminals knowingly stay in our country. MUST CHANGE!",2015-12-26,4318,11047,"Criminal deportations in the U.S. are the lowest number in many years. We are letting criminals knowingly stay in our country. MUST CHANGE!",-2.5,"negative",15365,2015-12-01,2015-01-01
"45","The Phoenix V.A. it has just been reported is in worse shape than ever before. The wait is horrendous and people are dying. I will fix it",2015-12-26,2870,8025,"The Phoenix V.A. it has just been reported is in worse shape than ever before. The wait is horrendous and people are dying. I will fix it",-2,"negative",10895,2015-12-01,2015-01-01
"47",".@chucktodd is so dishonest in his reporting...and to think he was going off the air until I came along-no ratings. I will beat Hillary!",2015-12-25,1695,6108,".@chucktodd is so dishonest in his reporting...and to think he was going off the air until I came along-no ratings. I will beat Hillary!",-1,"negative",7803,2015-12-01,2015-01-01
"50","Our great VETERANS are being treated very badly because of corruption and incompetence at the V.A. That will stop I will fix this quickly!",2015-12-25,3438,9374,"Our great VETERANS are being treated very badly because of corruption and incompetence at the V.A. That will stop I will fix this quickly!",-2.4,"negative",12812,2015-12-01,2015-01-01
"53","Does everyone see that the Democrats and President Obama are now because of me starting to deport people who are here illegally. Politics!",2015-12-25,3053,8560,"Does everyone see that the Democrats and President Obama are now because of me starting to deport people who are here illegally. Politics!",-1,"negative",11613,2015-12-01,2015-01-01
"57",".@HallieJackson Why didn't you report Hillary lying about the ISIS video. Bad reporting. Perhaps @NBC will do better next year-but doubt it!",2015-12-25,1743,5443,".@HallieJackson Why didn't you report Hillary lying about the ISIS video. Bad reporting. Perhaps @NBC will do better next year-but doubt it!",-1.2,"negative",7186,2015-12-01,2015-01-01
"63","Third rate reporters Amy Chozick and Maggie Haberman of the failing @nytimes are totally in the Hillary circle of bias. Think about Bill!",2015-12-24,1230,3801,"Third rate reporters Amy Chozick and Maggie Haberman of the failing @nytimes are totally in the Hillary circle of bias. Think about Bill!",-1.5,"negative",5031,2015-12-01,2015-01-01
"65","In the ridiculous @JebBush ad about me Jeb is speaking to me during the debate but doesn't allow my answer which destroys him - SO SAD!",2015-12-24,1251,4910,"In the ridiculous @JebBush ad about me Jeb is speaking to me during the debate but doesn't allow my answer which destroys him - SO SAD!",-1.5,"negative",6161,2015-12-01,2015-01-01
"68","Hillary said ""I really deplore the tone and inflammatory rhetoric of his campaign."" I deplore the death and destruction she caused-stupidity",2015-12-24,5940,13417,"Hillary said ""I really deplore the tone and inflammatory rhetoric of his campaign."" I deplore the death and destruction she caused-stupidity",-3.25,"negative",19357,2015-12-01,2015-01-01
"72","Why does @FoxNews give @KarlRove so much airtime. He (and other Fox pundits) is so biased. Still thinks Romney won. Unfair coverage of Trump",2015-12-23,1602,5139,"Why does @FoxNews give @KarlRove so much airtime. He (and other Fox pundits) is so biased. Still thinks Romney won. Unfair coverage of Trump",-1.1,"negative",6741,2015-12-01,2015-01-01
"73",".@FoxNews treats me so badly. Using old Quinnipiac Poll where I have a much smaller lead than the just out @CNN Poll. All negative!",2015-12-23,1396,4417,".@FoxNews treats me so badly. Using old Quinnipiac Poll where I have a much smaller lead than the just out @CNN Poll. All negative!",-1.5,"negative",5813,2015-12-01,2015-01-01
"74","The @washingtonpost which is the lobbyist (power) for not imposing taxes on #Amazon today did a nasty cartoon attacking @tedcruz kids. Bad",2015-12-23,2229,5748,"The @washingtonpost which is the lobbyist (power) for not imposing taxes on #Amazon today did a nasty cartoon attacking @tedcruz kids. Bad",-3,"negative",7977,2015-12-01,2015-01-01
"76","The Hillary Clinton staged event yesterday was pathetic. Be careful Hillary as you play the war on women or women being degraded card.",2015-12-23,3376,7787,"The Hillary Clinton staged event yesterday was pathetic. Be careful Hillary as you play the war on women or women being degraded card.",-2,"negative",11163,2015-12-01,2015-01-01
