"","text","created_at","retweet_count","favorite_count","clean","sent.value","category","response","month","year"
"4","Great poll- thank you Nevada!#MakeAmericaGreatAgain #Trump2016 https://t.co/9Lr1v6vjJb",2015-12-30,1728,4376,"Great poll- thank you Nevada!#MakeAmericaGreatAgain #Trump2016 https://t.co/9Lr1v6vjJb",0.9,"neutral",6104,2015-12-01,2015-01-01
"5","I'm going to be live with @ericbolling and @kimguilfoyle to ring in the New Year 2016. Everybody should tune in to @foxnews tomorrow night!",2015-12-30,2050,5247,"I'm going to be live with @ericbolling and @kimguilfoyle to ring in the New Year 2016. Everybody should tune in to @foxnews tomorrow night!",0.8,"neutral",7297,2015-12-01,2015-01-01
"6","Thank you Hilton Head South Carolina! #MakeAmericaGreatAgain #Trump2016 https://t.co/TBAD5MeYCE",2015-12-30,1493,4420,"Thank you Hilton Head South Carolina! #MakeAmericaGreatAgain #Trump2016 https://t.co/TBAD5MeYCE",0.4,"neutral",5913,2015-12-01,2015-01-01
"7","Thank you Hilton Head South Carolina! @SCTeamTrump #Trump2016 https://t.co/RLCz17tIas https://t.co/L5IAlbsdkw",2015-12-30,1227,3705,"Thank you Hilton Head South Carolina! @SCTeamTrump #Trump2016 https://t.co/RLCz17tIas https://t.co/L5IAlbsdkw",0.4,"neutral",4932,2015-12-01,2015-01-01
"9","Joe McQuaid (@deucecrew) is desperately trying to sell the @UnionLeader. It's a loser and my comments haven't helped him much.",2015-12-30,766,2488,"Joe McQuaid (@deucecrew) is desperately trying to sell the @UnionLeader. It's a loser and my comments haven't helped him much.",-0.2,"neutral",3254,2015-12-01,2015-01-01
"14","Joe McQuaid (@deucecrew) of the dying Union Leader wanted ads lunches donations speeches from me and tweets---very unethical.",2015-12-30,1121,3397,"Joe McQuaid (@deucecrew) of the dying Union Leader wanted ads lunches donations speeches from me and tweets---very unethical.",-0.75,"neutral",4518,2015-12-01,2015-01-01
"17","I hope @TGowdySC does better for Rubio than he did at the #Benghazi hearings which were a total disaster for Republicans &amp; America!",2015-12-29,2194,5144,"I hope @TGowdySC does better for Rubio than he did at the #Benghazi hearings which were a total disaster for Republicans &amp; America!",0.3,"neutral",7338,2015-12-01,2015-01-01
"18","We need a real President! https://t.co/nw7BIAW7HV",2015-12-29,1936,5643,"We need a real President! https://t.co/nw7BIAW7HV",0.25,"neutral",7579,2015-12-01,2015-01-01
"20","So I have spent almost nothing on my run for president and am in 1st place. Jeb Bush has spent $59 million &amp; done. Run country my way!",2015-12-29,4172,10349,"So I have spent almost nothing on my run for president and am in 1st place. Jeb Bush has spent $59 million &amp; done. Run country my way!",-0.25,"neutral",14521,2015-12-01,2015-01-01
"21","My campaign for president is $35000000 under budget I have spent very little (and am in 1st place).Now I will spend big in Iowa/N.H./S.C.",2015-12-29,3614,9464,"My campaign for president is $35000000 under budget I have spent very little (and am in 1st place).Now I will spend big in Iowa/N.H./S.C.",0,"neutral",13078,2015-12-01,2015-01-01
