"","text","created_at","retweet_count","favorite_count","clean","sent.value","category","response","month","year","week"
"6442","Many reports of peaceful protests by Iranian citizens fed up with regime’s corruption &amp; its squandering of the nation’s wealth to fund terrorism abroad. Iranian govt should respect their people’s rights including right to express themselves. The world is watching! #IranProtests",2017-12-30,60821,138901,"Many reports of peaceful protests by Iranian citizens fed up with regime’s corruption &amp; its squandering of the nation’s wealth to fund terrorism abroad. Iranian govt should respect their people’s rights including right to express themselves. The world is watching! #IranProtests",1.15,"positive",199722,2017-12-01,2017-01-01,2017-12-25
"6446","In the East it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country but not other countries was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!",2017-12-29,65929,204151,"In the East it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old Global Warming that our Country but not other countries was going to pay TRILLIONS OF DOLLARS to protect against. Bundle up!",2.6,"positive",270080,2017-12-01,2017-01-01,2017-12-25
"6450","Retail sales are at record numbers. We’ve got the economy going better than anyone ever dreamt - and you haven’t seen anything yet!",2017-12-28,21499,108370,"Retail sales are at record numbers. We’ve got the economy going better than anyone ever dreamt - and you haven’t seen anything yet!",1.2,"positive",129869,2017-12-01,2017-01-01,2017-12-25
"6456","All signs are that business is looking really good for next year only to be helped further by our Tax Cut Bill. Will be a great year for Companies and JOBS! Stock Market is poised for another year of SUCCESS!",2017-12-26,25344,130759,"All signs are that business is looking really good for next year only to be helped further by our Tax Cut Bill. Will be a great year for Companies and JOBS! Stock Market is poised for another year of SUCCESS!",2.2,"positive",156103,2017-12-01,2017-01-01,2017-12-25
"6459","I hope everyone is having a great Christmas then tomorrow it’s back to work in order to Make America Great Again (which is happening faster than anyone anticipated)!",2017-12-25,34926,199932,"I hope everyone is having a great Christmas then tomorrow it’s back to work in order to Make America Great Again (which is happening faster than anyone anticipated)!",1.85,"positive",234858,2017-12-01,2017-01-01,2017-12-25
"6462","People are proud to be saying Merry Christmas again. I am proud to have led the charge against the assault of our cherished and beautiful phrase. MERRY CHRISTMAS!!!!!",2017-12-25,55103,232320,"People are proud to be saying Merry Christmas again. I am proud to have led the charge against the assault of our cherished and beautiful phrase. MERRY CHRISTMAS!!!!!",2.65,"positive",287423,2017-12-01,2017-01-01,2017-12-25
"6465",".@FoxNews-FBI’s Andrew McCabe “in addition to his wife getting all of this money from M (Clinton Puppet) he was using allegedly his FBI Official Email Account to promote her campaign. You obviously cannot do this. These were the people who were investigating Hillary Clinton.”",2017-12-24,29754,99677,".@FoxNews-FBI’s Andrew McCabe “in addition to his wife getting all of this money from M (Clinton Puppet) he was using allegedly his FBI Official Email Account to promote her campaign. You obviously cannot do this. These were the people who were investigating Hillary Clinton.”",1.4,"positive",129431,2017-12-01,2017-01-01,2017-12-18
"6469","FBI Deputy Director Andrew McCabe is racing the clock to retire with full benefits. 90 days to go?!!!",2017-12-23,20991,73110,"FBI Deputy Director Andrew McCabe is racing the clock to retire with full benefits. 90 days to go?!!!",1.25,"positive",94101,2017-12-01,2017-01-01,2017-12-18
"6472","Today it was my great honor to sign the largest TAX CUTS and reform in the history of our country. Full remarks: https://t.co/kMxoxEB68G https://t.co/OeAoA0sLfx",2017-12-22,15999,69047,"Today it was my great honor to sign the largest TAX CUTS and reform in the history of our country. Full remarks: https://t.co/kMxoxEB68G https://t.co/OeAoA0sLfx",1.25,"positive",85046,2017-12-01,2017-01-01,2017-12-18
"6473","The United Nations Security Council just voted 15-0 in favor of additional Sanctions on North Korea. The World wants Peace not Death!",2017-12-22,19186,91106,"The United Nations Security Council just voted 15-0 in favor of additional Sanctions on North Korea. The World wants Peace not Death!",1.75,"positive",110292,2017-12-01,2017-01-01,2017-12-18
